NomMunicipio,count,total_reclamacoes,media_reclamacoes,percentual
São Paulo,124268,861134,6.92965204236006,2.588978154897845
Rio de Janeiro,93979,266805,2.8389853052277636,1.9579423344637767
Brasília,75095,174575,2.324722018776217,1.5645163239293598
Fortaleza,53167,259782,4.886151184005116,1.1076721405466714
Salvador,45426,114336,2.516972658829745,0.9463974769400774
Porto Alegre,39818,131127,3.2931588728715657,0.8295613687491744
Goiânia,38313,163744,4.273849607182941,0.7982064574033634
Belo Horizonte,36360,68543,1.88512101210121,0.7575179910522875
Recife,33732,94208,2.792837661567651,0.7027666907089044
São Gonçalo,33527,73856,2.2028812598800966,0.6984957559408702
Manaus,28185,60926,2.1616462657441904,0.5872014460343433
Belém,27944,53762,1.9239192671056398,0.5821804934533862
Duque de Caxias,26683,40657,1.5237042311584155,0.5559090361729424
SÃO PAULO,24440,77679,3.178355155482815,0.5091787596622086
Niterói,22068,35352,1.601957585644372,0.4597609193218339
Curitiba,20956,48604,2.3193357510975376,0.43659370243376616
Guarulhos,20580,32050,1.5573372206025267,0.42876018305434754
São Bernardo do Campo,19398,41318,2.130013403443654,0.40413459819670716
Osasco,19209,43067,2.2420219688687593,0.4001970046788611
Santo André,18957,41360,2.181779817481669,0.3949468799883997
Campinas,18662,29203,1.564837637980924,0.388800900688058
Aparecida de Goiânia,17364,44372,2.5554019811103434,0.36175859176655445
Maceió,17268,32445,1.8789089645587214,0.3597585442654263
Campo Grande,17253,37831,2.1927201066481192,0.35944603684337506
Nova Iguaçu,16570,23203,1.400301750150875,0.3452165322259737
Jaboatão dos Guararapes,15662,27558,1.7595453965010854,0.3262994162778033
RIO DE JANEIRO,15337,33060,2.155571493773228,0.31952842213335897
Sorocaba,15146,24473,1.615806153439852,0.31554916095923946
Feira de Santana,15057,25884,1.7190675433353257,0.31369495025506855
Teresina,14788,24729,1.6722342439816067,0.30809065048628237
Natal,13715,22948,1.6732045205978856,0.28573595289554793
Caucaia,13415,27003,2.0128960119269474,0.2794858044545225
Praia Grande,13207,18643,1.411599909139093,0.27515236820207817
FORTALEZA,13052,32778,2.5113392583512106,0.27192312484088166
Maricá,12872,18963,1.4731976382846488,0.26817303577626633
Anápolis,12811,29980,2.3401764108968854,0.2669021722599245
BRASÍLIA,12802,34669,2.708092485549133,0.26671466780669373
BELÉM,12753,18243,1.430486944248412,0.26569381022799293
Pelotas,12528,24022,1.9174648786717752,0.2610061988972238
Petrolina,12269,27187,2.2159100171163093,0.25561023740980515
Ribeirão Preto,12217,16713,1.3680117868543833,0.2545268783466941
Diadema,12069,23265,1.9276659209545115,0.25144347178245485
Olinda,11938,19688,1.649187468587703,0.24871424029654035
São José dos Campos,11778,18234,1.5481406011207335,0.2453808277946601
SALVADOR,11472,24101,2.1008542538354256,0.23900567638481413
Uberlândia,11428,15391,1.3467798389919496,0.2380889879467971
Carapicuíba,11278,19589,1.7369214399716262,0.2349639137262843
Santos,11271,16430,1.4577233608375477,0.23481807692932707
Cuiabá,11156,18511,1.6592864826102545,0.23242218669360065
Paulista,10911,16562,1.5179176977362294,0.2273178988000965
Itaboraí,10759,16443,1.528301886792453,0.22415115692331028
Ananindeua,10756,14546,1.3523614726664188,0.2240886554389
Campos dos Goytacazes,10706,14751,1.3778255184008967,0.22304696403206242
Maracanaú,10601,19313,1.8218092632770493,0.2208594120777035
Juazeiro do Norte,10579,19436,1.8372246904244258,0.22040106785869498
Contagem,10553,13130,1.2441959632332038,0.21985938832713944
João Pessoa,10467,13464,1.2863284608770422,0.2180676791073788
RECIFE,10452,28598,2.7361270570225793,0.21775517168532754
Barueri,10406,16194,1.5562175667883913,0.21679681559103695
Cotia,10299,17578,1.7067676473444024,0.21456759598040454
Águas Lindas de Goiás,10278,21786,2.119673088149445,0.21413008558953273
Mauá,10264,16534,1.6108729540140296,0.21383841199561823
Canoas,10097,15350,1.5202535406556403,0.21035916269678073
Valparaíso de Goiás,9986,19190,1.9216903665131184,0.2080466077736013
Cabo Frio,9952,13247,1.33108922829582,0.20733825761695174
São João de Meriti,9949,12624,1.2688712433410394,0.20727575613254146
Caruaru,9895,19417,1.9623041940373926,0.2061507294131569
Jundiaí,9675,13486,1.3939018087855297,0.20156728722307157
Camaçari,9624,12482,1.2969659185369908,0.20050476198809725
São José do Rio Preto,9611,13401,1.3943398189574445,0.20023392222231945
Luziânia,9605,19529,2.0332118688183236,0.20010891925349894
Magé,9529,13781,1.4462168118375485,0.19852554831510583
Cascavel,9355,13154,1.4060929983965793,0.19490046221931104
Viamão,9294,16645,1.7909403916505273,0.1936295987029692
CAMPO GRANDE,9240,11388,1.2324675324675325,0.19250457198358462
São Luís,9192,11610,1.2630548302872062,0.19150454823302052
São Vicente,9174,13306,1.4504033137126662,0.19112953932655902
Lauro de Freitas,9019,11139,1.2350593192149906,0.1879002959653625
Juiz de Fora,9000,11918,1.3242222222222222,0.18750445323076423
GOIÂNIA,8988,23189,2.5799955496217177,0.1872544472931232
Taboão da Serra,8910,14691,1.6488215488215487,0.1856294086984566
Petrópolis,8901,11627,1.3062577238512527,0.18544190424522583
Mogi das Cruzes,8896,11738,1.3194694244604317,0.18533773510454207
Vila Velha,8799,12270,1.3944766450733037,0.18331685377527715
Belford Roxo,8392,10539,1.255838894184938,0.17483748572361926
Piracicaba,8281,11931,1.4407680231856057,0.17252493080043985
Trindade,8200,14306,1.7446341463414634,0.17083739072136297
Itaquaquecetuba,8174,10219,1.2501835086860777,0.17029571118980744
Rio Verde,8172,16080,1.9676945668135095,0.1702540435335339
Alvorada,7916,12892,1.628600303183426,0.16492058353052552
Rio Grande,7910,12949,1.6370417193426043,0.164795580561705
Serra,7891,11089,1.4052718286655683,0.16439973782710673
Embu das Artes,7854,12135,1.5450725744843392,0.1636288861860469
Novo Hamburgo,7547,11047,1.4637604346097788,0.1572329009480642
Franca,7503,10079,1.3433293349326936,0.1563162125100471
BELO HORIZONTE,7473,10332,1.3825772782015255,0.15569119766594455
Bauru,7437,10621,1.4281296221594728,0.15494117985302153
Vitória,7416,10462,1.4107335490830637,0.15450366946214975
PAULISTA,7376,11692,1.5851409978308026,0.15367031633667966
Macaé,7347,8763,1.1927317272356064,0.15306613532071386
Sobral,7260,12297,1.693801652892562,0.15125359227281648
Caxias do Sul,7156,10817,1.511598658468418,0.1490868741465943
Rio das Ostras,7060,8460,1.198300283286119,0.14708682664546616
PORTO ALEGRE,7011,14318,2.0422193695621167,0.14606596906676533
